time,type,value
1646373157.9360607,attention,0
1646373157.937056,meditation,0
1646373158.9413056,attention,0
1646373158.9422958,meditation,0
1646373159.9972975,attention,0
1646373159.9982958,meditation,0
1646373160.9559484,attention,0
1646373160.9569323,meditation,0
1646373161.9379537,attention,0
1646373161.9389517,meditation,0
1646373162.9781585,attention,0
1646373162.9781585,meditation,0
1646373163.9412303,attention,0
1646373163.9412303,meditation,0
1646373164.9379933,attention,0
1646373164.9389877,meditation,0
1646373165.9439816,attention,0
1646373165.9439816,meditation,0
1646373166.983108,attention,0
1646373166.983108,meditation,0
1646373167.955107,attention,0
1646373167.956107,meditation,0
1646373168.939967,attention,30
1646373168.939967,meditation,41
1646373169.9944797,attention,30
1646373169.9944797,meditation,35
1646373170.942245,attention,30
1646373170.9432507,meditation,35
1646373171.9389842,attention,30
1646373171.9389842,meditation,35
1646373172.9400663,attention,30
1646373172.9400663,meditation,35
1646373173.9611392,attention,30
1646373173.9611392,meditation,35
1646373174.941375,attention,37
1646373174.942376,meditation,38
1646373175.9418097,attention,37
1646373175.9418097,meditation,38
1646373176.9584196,attention,37
1646373176.9584196,meditation,38
1646373178.0064309,attention,37
1646373178.0064309,meditation,38
1646373178.9597976,attention,37
1646373178.9618495,meditation,38
1646373179.9397974,attention,35
1646373179.9397974,meditation,35
1646373180.954695,attention,35
1646373180.9557178,meditation,35
1646373181.9548075,attention,35
1646373181.955806,meditation,35
1646373182.9408007,attention,35
1646373182.9408007,meditation,35
1646373183.9819248,attention,35
1646373183.9819248,meditation,35
1646373184.9812381,attention,56
1646373184.9812381,meditation,30
1646373185.9392533,attention,56
1646373185.9402378,meditation,30
1646373186.9411862,attention,56
1646373186.9421842,meditation,30
1646373187.9421835,attention,63
1646373187.9421835,meditation,43
1646373188.9421442,attention,63
1646373188.9421442,meditation,43
1646373189.9401374,attention,63
1646373189.9401374,meditation,43
1646373190.9352803,attention,63
1646373190.9392982,meditation,43
1646373191.9802775,attention,63
1646373191.9802775,meditation,43
1646373192.9649365,attention,63
1646373192.9669409,meditation,53
1646373193.9405072,attention,63
1646373193.9405072,meditation,53
1646373194.9598615,attention,63
1646373194.960861,meditation,53
1646373196.005874,attention,63
1646373196.006863,meditation,53
1646373196.9407563,attention,63
1646373196.9407563,meditation,53
1646373197.9364007,attention,63
1646373197.9373949,meditation,53
1646373198.9521167,attention,63
1646373198.9539359,meditation,53
1646373199.9980345,attention,63
1646373199.9990354,meditation,53
1646373200.939689,attention,54
1646373200.939689,meditation,38
1646373201.9751995,attention,47
1646373201.976198,meditation,23
1646373202.9901366,attention,24
1646373202.9911373,meditation,8
1646373203.9401667,attention,3
1646373203.9411616,meditation,1
1646373204.9367175,attention,3
1646373204.9377012,meditation,1
1646373205.949283,attention,3
1646373205.949283,meditation,1
1646373206.936284,attention,3
1646373206.936284,meditation,1
1646373207.9428577,attention,3
1646373207.9428577,meditation,1
1646373208.9858503,attention,3
1646373208.9868686,meditation,1
1646373210.0098488,attention,3
1646373210.0098488,meditation,1
1646373210.9578657,attention,3
1646373210.9588623,meditation,1
1646373211.9355345,attention,3
1646373211.9425373,meditation,1
1646373212.947261,attention,29
1646373212.947261,meditation,1
1646373214.0031734,attention,29
1646373214.0041614,meditation,1
1646373214.940159,attention,29
1646373214.940159,meditation,1
1646373215.9933715,attention,29
1646373215.9933715,meditation,1
1646373216.992371,attention,29
1646373216.9933732,meditation,1
1646373217.9407794,attention,29
1646373217.9407794,meditation,1
1646373218.9375918,attention,29
1646373218.938608,meditation,1
1646373219.9421234,attention,21
1646373219.9421234,meditation,14
1646373220.9742024,attention,41
1646373220.9742024,meditation,23
1646373221.9388297,attention,41
1646373221.9398112,meditation,23
1646373222.9408033,attention,63
1646373222.9408033,meditation,43
1646373223.9563708,attention,63
1646373223.9573655,meditation,43
1646373224.9899733,attention,63
1646373224.9899733,meditation,43
1646373225.9371274,attention,57
1646373225.9381194,meditation,48
1646373226.9586442,attention,63
1646373226.9586442,meditation,50
1646373228.0000644,attention,63
1646373228.0000644,meditation,60
1646373228.9372382,attention,53
1646373228.9382308,meditation,48
1646373229.9403896,attention,44
1646373229.9413838,meditation,60
1646373230.9444,attention,51
1646373230.9444,meditation,63
1646373232.0077336,attention,51
1646373232.008732,meditation,63
1646373232.938281,attention,51
1646373232.9392798,meditation,63
1646373233.9393997,attention,53
1646373233.9393997,meditation,51
1646373234.9783952,attention,53
1646373234.9793952,meditation,51
1646373235.9350574,attention,53
1646373235.9370694,meditation,51
1646373236.9350548,attention,64
1646373236.9370651,meditation,56
1646373237.9359858,attention,70
1646373237.9359858,meditation,30
1646373238.9900339,attention,70
1646373238.9900339,meditation,30
1646373239.956218,attention,61
1646373239.956218,meditation,38
1646373240.94231,attention,63
1646373240.94231,meditation,24
1646373241.9580934,attention,63
1646373241.959086,meditation,24
1646373242.9550998,attention,63
1646373242.9560895,meditation,24
1646373243.935083,attention,50
1646373243.9361038,meditation,47
1646373244.9427435,attention,41
1646373244.9427435,meditation,54
1646373245.9934719,attention,26
1646373245.9944704,meditation,37
1646373246.9399936,attention,17
1646373246.9399936,meditation,48
1646373247.9560122,attention,47
1646373247.9569955,meditation,16
1646373248.966044,attention,47
1646373248.966044,meditation,16
1646373249.9355726,attention,47
1646373249.9355726,meditation,16
1646373250.9349825,attention,47
1646373250.9359853,meditation,16
1646373251.9592612,attention,47
1646373251.9592612,meditation,16
1646373252.9728146,attention,47
1646373252.9728146,meditation,16
1646373253.9350111,attention,47
1646373253.9350111,meditation,16
1646373254.9400232,attention,47
1646373254.9410105,meditation,16
1646373255.9490516,attention,40
1646373255.9500523,meditation,17
1646373257.0081437,attention,40
1646373257.0091438,meditation,17
1646373257.9359696,attention,57
1646373257.936954,meditation,41
1646373258.9381285,attention,57
1646373258.9391184,meditation,57
1646373259.9673262,attention,57
1646373259.9683292,meditation,57
1646373260.937,attention,57
1646373260.9379935,meditation,57
1646373261.9360244,attention,57
1646373261.9370284,meditation,57
1646373262.9460437,attention,57
1646373262.9460437,meditation,57
1646373264.0243566,attention,57
1646373264.0243566,meditation,57
1646373264.9463575,attention,57
1646373264.9473746,meditation,57
1646373265.943607,attention,57
1646373265.943607,meditation,57
1646373266.9481237,attention,57
1646373266.9481237,meditation,57
1646373267.9343204,attention,57
1646373267.9343204,meditation,57
1646373268.940027,attention,57
1646373268.941028,meditation,57
1646373269.9521737,attention,57
1646373269.9530318,meditation,57
1646373271.000175,attention,57
1646373271.000175,meditation,57
1646373271.9505792,attention,57
1646373271.9505792,meditation,57
1646373272.9510825,attention,57
1646373272.9510825,meditation,57
1646373273.9426837,attention,57
1646373273.9426837,meditation,57
1646373274.937248,attention,57
1646373274.9382346,meditation,57
1646373275.9384272,attention,57
1646373275.9394286,meditation,57
1646373276.9374435,attention,57
1646373276.9374435,meditation,57
1646373278.1069565,attention,57
1646373278.107957,meditation,57
1646373278.9700246,attention,57
1646373278.9710243,meditation,57
1646373279.9677372,attention,38
1646373279.9687665,meditation,88
1646373280.9543483,attention,43
1646373280.9563487,meditation,81
1646373281.977939,attention,43
1646373281.977939,meditation,81
1646373283.1349416,attention,43
1646373283.1359522,meditation,81
1646373284.0800776,attention,43
1646373284.0810754,meditation,81
1646373284.9790566,attention,43
1646373284.9790566,meditation,81
1646373285.9447947,attention,43
1646373285.9447947,meditation,81
1646373286.9441643,attention,43
1646373286.9451625,meditation,81
1646373287.9377224,attention,43
1646373287.9387393,meditation,81
1646373289.0482204,attention,43
1646373289.0482204,meditation,81
1646373289.9388783,attention,43
1646373289.9398785,meditation,81
1646373290.9430423,attention,43
1646373290.9440343,meditation,81
1646373291.9401069,attention,50
1646373291.9411104,meditation,67
1646373292.9360902,attention,50
1646373292.9370813,meditation,53
1646373293.939827,attention,51
1646373293.939827,meditation,40
1646373294.9358363,attention,54
1646373294.9378357,meditation,40
1646373296.0272908,attention,54
1646373296.0272908,meditation,40
1646373296.9568799,attention,54
1646373296.9578767,meditation,40
1646373297.941579,attention,43
1646373297.941579,meditation,61
1646373298.945102,attention,41
1646373298.9461038,meditation,80
1646373299.9563067,attention,44
1646373299.9563067,meditation,74
1646373300.9424338,attention,37
1646373300.9424338,meditation,66
1646373301.9960852,attention,41
1646373301.9960852,meditation,44
